Bank description; Nợ ; Có ; Nature 
IBPS/SE:01201004.DD:271025.SH:10003471.BO:CTY CP PT CONG NGHIEP HAU CAN SONG THAN.STL_BTU_DISTRIBUTE DIVIDENDS FOR FY2025_1ST PAYMENT/CHI TRA CO TUC NAM 2025;22.208.538,00; -   ;Receipt from tenants
INTEREST PAYMENT;1.501.850,00; -   ;Receipt from tenants
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
VCBCSH. C74221025011900.BTU-THP-Defect rectification (Tenant The Touch)-Inv no.00000086 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN  toi 149704070001714 CONG TY TNHH THANG HOA PHAT NHTMCP phat tri; -   ;49.302.000,00;Operating expense
VCBCSH. C737231025100027.BTU-VINASUN-Taxi Fee in 09.2025 and deduct deposit-Inv no.63863 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN  toi 2276259 CONG TY CO PHAN ANH DUONG VIET NAM NHTMCP A Chau (; -   ;13.547.722,00;Operating expense
VCBCSH. C791201025095253.BTU-VSIP-WATER AND SEWAGE IN 09.2025-INV NO.17923 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN  toi 6510000014 Cong ty Lien doanh TNHH Khu Cong nghiep Viet Nam-Singapore NH; -   ;13.278.437,00;Operating expense
VCBCSH. C757201025095209.BTU-VSIP-EMF in 10.2025-Inv no.17922 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN  toi 6510000014 Cong ty Lien doanh TNHH Khu Cong nghiep Viet Nam-Singapore NH Dau tu va Ph; -   ;142.844.021,00;Operating expense
VCBCSH. C741201025095335.BTU-IMPC-FM service fee in Sep.2025Inv no.00000469 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN  toi 6516278989 Cong ty Co Phan Thiet ke va Quan ly Ky Thuat IMP NH Dau tu v; -   ;128.393.282,00;Operating expense
VCBCSH. C729201025095528.BTU-PVI-PAR,B,PLI Insurance Purchasing from 01/10/2025 to 30/09/2026-1st payment-Inv no.00000303 CT tu 1018776868 CT TNHH MTV PT CN VA HAU CAN BW TAN UYEN toi 0071005396210 CONG TY BAO; -   ;93.993.873,00;Operating expense
TT TIEN THUE KHO A1.1 TU 01/1031/12/2025 HD SO BWTU/PLC/22002 NGAY 13/06/2025 (INV 115)-PAYMENT FOR RENTAL BW WAREHOUSE;886.476.492,00; -   ;Receipt from tenants
//SAL2025294S041004122004//CTY BOWKER TT CP DIEN NUOC KHO BW TU 21 07 2025 20 08 2025 INV 92 PAYMENT FOR FEE BW ELECTRIC;2.435.551,00; -   ;Receipt from tenants
SHGD:10000018.DD:251021.BO:TCL SMART DEVICE (VIET NAM) COMPANY LIMITED.Remark:1C25TBA119 120 121 122;3.193.254.186,00; -   ;Receipt from tenants
/Ref:PATTMN2PQSG25292{//} TT VNMN2PQSG MIDEA VN DEPOSIT FOR STORAGE RENTALACCORDING TO CONTRACT NO.BWTU/PLC/25001 DVC:CT TNHH MIDEA CONSUMER ELECTRIC (VN)/MIDEA CONSUMER ELECTRIC(VN)CO.LTD;1.292.211.360,00; -   ;Receipt from tenants
THU NO TKV 1019127246THU NO TKV 1019127246; -   ;4.000.000.000,00;Loan repayment
CHUYEN KHOANINTERNAL TRANSFER FROM VCB HCM TO VTB TS; -   ;32.000.000.000,00;Internal transfer out
VCBCSH. C772231025120034.QV2-VC3-Chuyen tien hop tac kinh doanh-BCC transfer CT tu 1019667606 CT CP SAO HOA TOAN QUOC  toi 059817628 Cong Ty TNHH Phat Trien Cong Nghiep Que Vo 2 NHTMCP Quoc Te (VIB); -   ;15.900.000.000,00;Internal transfer out
CK SANG TK TIMEMO TKKH 33 NGAY THEO HD 37.2025/HDTG-VCBHCM.KHFDI NGAY 29/10/2025 LAI SUAT 4.75% DAO HAN GOC KHONG XOAY VONG LAI TRA RA CO AP DUNG RUT GOC LINH HOAT; -   ;950.000.000.000,00;Internal transfer out
CA - TARGET;950.000.000.000,00; -   ;Internal transfer in
CA - TARGET;3.357.534.247,00; -   ;Other receipts
INTEREST PAYMENT;43.323.279,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
CHUYEN KHOANINTERNAL TRANSFER FORM VCB HCM TO BIDV; -   ;100.000.000.000,00;Internal transfer out
CHUYEN KHOANINTERNAL TRANSFER FORM VCB HCM TO ACB; -   ;50.000.000.000,00;Internal transfer out
"Thanh toan so du t/k the VISACARD EMV CTL CORPORATE CCM; So T/k VC0070002066(WEE HSIAO CHUNG PA), den ngay 2025-09-20."; -   ;55.776.557,00;Operating expense
INTEREST PAYMENT;29.023,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
IBVCB.3110251030904001.Billda thanh toan tien thue xuong quy 4.2025;499.000.000,00; -   ;Receipt from tenants
IBVCB.3110250207688002.Billda thanh toan tien thue xuong quy 4.2025;273.511.820,00; -   ;Receipt from tenants
VCBCSH. C734281025111736.T3B Lot E1-Trung Quy-Payment of Water consumption fee Sep 2025-INVOICE 206 CT tu 3243126666 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B toi 3886868688 CONG TY CP DAU TU TRUNG QUY-BAC; -   ;1.827.000,00;Operating expense
CA - TARGET;34.027.397,00; -   ;Receipt from tenants
VCBCSH. C78231025053330.T3B-Internal transfer-The rental deposit for 5 months of  IN-CUBE VIET NAM Company CT tu 1047222564 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B toi 3243126666 CT TNHH PHAT TRIEN CONG N;1.772.253.684,00; -   ;Receipt from tenants
CK SANG TK TIMETHUC HIEN HDTG RGLH SO HDTG/RGLH/VCBBD-TT3B-27.10.2025 KY NGAY 27.10.2025, KY HAN 98 NGAY, LS 4.5%/NAM, NGAY 02.02.2026 TAT TOAN GOC LAI VE TK 3243126666; -   ;4.500.000.000,00;Internal transfer out
INTEREST PAYMENT;492.206,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
IBVCB.1710250911848004.vital link thanh toan tien thuan thanh 3b;1.506.988.962,00; -   ;Receipt from tenants
SHGD:10005007.DD:251017.BO:CTY TNHH THIET BI THONG MINH TAIKAN (VIET NAM).Remark:Workshop rent;834.445.329,00; -   ;Receipt from tenants
/Ref:PATTMN2RC8W25303{//}TT VNMN2RC8W MIDEA VN PAY FOR RENTING WORKSHOP FROM 01/10/2025 TO30/10/2025 (INV NO.00000054) DVC:CT TNHH MIDEA CONSUMER ELECTRIC (VN)/MIDEA CONSUMER ELECTRIC(VN)CO.LTD;15.519.319.197,00; -   ;Receipt from tenants
VCBCSH. C770221025114640.BTH-VIET DONG TRIEU-Broker fee-2nd payment-Deal MIDEA-Inv no.4 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 2222056688 CONG TY TNHH VIET DONG TRIEU NHTMCP A Chau; -   ;6.325.111.578,00;Operating expense
"VCBCSH..CONG TY TNHH MOT THANH VIEN PHAT TRIEN CONG NGHIEP BW THOI HOA;MS3702744968;TK7111;CQ1054260;QD048000460498;Ch551;TM1603;Ky102025;ST25100109;30102025"; -   ;25.100.109,00;Operating expense
INTEREST PAYMENT;1.619.887,00; -   ;Receipt from tenants
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
/Ref:PATTM507GW625295{//}TT VNM507GW6 MIDEA VN PAY FOR ELECTRICITY AND WATER FEE FROM 19/08/2025 TO 19/09/2025 (INV NO.00000051) DVC:CT TNHH MIDEA CONSUMER ELECTRIC (VN)/MIDEA CONSUMER ELECTRIC(VN)CO.LTD;2.211.616.566,00; -   ;Receipt from tenants
SHGD:10001485.DD:251022.BO:CTY TNHH MTV PTCN BW THOI HOA.Remark:OCB CN BD CHUYEN TIEN DONG TK 00101 00014965001 CUA CTY TNHH MTV PTCN B W THOI HOA THEO GIAY DN NGAY 22/10/ 2025 (DVH CHIU PHI. ST: 97.014.9?47D );96.992.947,00; -   ;Internal transfer in
"AB.MKH : PB04040090912.10/2025;ST:180545771;KH:K25TTP;S:1347988;T:Cong ty TNHH MTV phat trien cong nghiep BW Thoi Hoa;DC:Lo A3, duong NA2,  khu cong nghiep Thoi Hoa, Phuong Thoi  Hoa, Thanh pho Ho Chi Minh, Viet Nam"; -   ;180.545.771,00;Operating expense
VCBCSH. C723091025012413.BTH-YG-4th Payment for contract BWTH.VD.25016-Electrical system renovation A1, A3, A5-Midea-Inv no.621 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 132671789 CON; -   ;13.869.953.706,00;Operating expense
"VCBCSH..CONG TY TNHH MOT THANH VIEN PHAT TRIEN CONG NGHIEP BW THOI HOA;MS3702744968;TK7111;CQ1054260;QD;Ch557;TM1001;Ky102025;ST582219733;17102025"; -   ;582.219.733,00;Operating expense
"AB.MKH : PB04040091133.10/2025;ST:115110534;KH:K25TTP;S:1347130;T:Cong ty TNHH MTV phat trien cong nghiep BW Thoi Hoa;DC:Lo A3, duong NA2,  khu cong nghiep Thoi Hoa, Phuong Thoi  Hoa, Thanh pho Ho Chi Minh, Viet Nam"; -   ;115.110.534,00;Operating expense
"AB.MKH : PB04040088962.10/2025;ST:183433060;KH:K25TTP;S:1347136;T:Cong ty TNHH MTV phat trien cong nghiep BW Thoi Hoa;DC:Lo A3, duong NA2,  khu cong nghiep Thoi Hoa, Phuong Thoi  Hoa, Thanh pho Ho Chi Minh, Viet Nam"; -   ;183.433.060,00;Operating expense
"AB.MKH : PB04040091134.10/2025;ST:160151083;KH:K25TTP;S:1347131;T:Cong ty TNHH MTV phat trien cong nghiep BW Thoi Hoa;DC:Lo A3, duong NA2,  khu cong nghiep Thoi Hoa, Phuong Thoi  Hoa, Thanh pho Ho Chi Minh, Viet Nam"; -   ;160.151.083,00;Operating expense
VCBCSH. C797151025025953.BTH-IMPC-Defect rectification in 0607/2025-Inv no.00000471, 00000472 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 6516278989 Cong ty Co phan Thiet Ke va Quan Ly; -   ;7.882.218,00;Operating expense
VCBCSH. C773151025025730.BTH-BECAMEX-Wastewater fee in 09/2025-Inv no.12332 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 6500000336 TONG CONG TY DAU TU VA PHAT TRIEN CONG NGHIEP - CTCP N; -   ;189.295.569,00;Operating expense
VCBCSH. C772151025025825.BTH-IMPC-FM service fee in 09/2025-Inv no.00000470 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 6516278989 Cong ty Co phan Thiet Ke va Quan Ly Ky Thuat IMP NH Da; -   ;179.298.845,00;Operating expense
VCBCSH. C762151025025450.BTH-HHP-Cracked floor rectification RBF A7-Inv no.33 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA  toi 7722558888 Cong ty TNHH Kien truc va Xay dung Huu Hoa Phat NHTM; -   ;20.444.400,00;Operating expense
VCBCSH. C726151025030145.BTH-PVI-PAR,B,PLI Insurance Purchasing from 01/10/2025 to 30/09/2026-1st payment-Inv no.00000297 CT tu 1057270760 CT TNHH MTV PHAT TRIEN CONG NGHIEP BW THOI HOA toi 0071005396210 CONG T; -   ;214.677.898,00;Operating expense
IBPS/SE:01317001.DD:311025.SH:10001348.BO:CONG TY TNHH CONG NGHE WANXIN (VIET NAM).CK THANH TOAN PHI DAT COC GIU CHO NHA XUONG E2 LO CN10-02;557.714.200,00; -   ;Receipt from tenants
VCBCSH. C731231025111434.BNH CN10 02-PMC-FM Service fee in Sep 25 and OT fee (wipha storm) Inv 00185386, 00185387 CT tu 1048666263 CT TNHH PTCN BW NAM HAI  toi 2890038458 CTY CP QUAN LY VA KHAI THAC TOA NHA VNP; -   ;67.602.746,00;Operating expense
VCBCSH. C710231025110419.BNH CN10 02-Sao Do-Payment for water consumption and Wastewater treatment from 03/09/2025 to 03/10/2025 Inv 00001952, 00002012 CT tu 1048666263 CT TNHH PTCN BW NAM HAI  toi 3230030091 C; -   ;2.457.849,00;Operating expense
INTEREST PAYMENT;546.525,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
CA - TARGET;12.945.205,00; -   ;Other receipts
VCBCSH. C78231025053330.T3B-Internal transfer-The rental deposit for 5 months of  IN-CUBE VIET NAM Company CT tu 1047222564 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B toi 3243126666 CT TNHH PHAT TRIEN CONG N; -   ;1.772.253.684,00;Operating expense
INTEREST PAYMENT;189.099,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
SHGD:10000534.DD:251020.BO:CONG TY TNHH TU DONG HOA IN-CUBE VIET NAM.Remark:Pay the rental deposit for 5 months;1.772.253.684,00; -   ;Receipt from tenants
"THU PHI TRA NO TRUOC HAN THEO THONG BAO TAC NGHIEP THU NO NGAY 31.10.2025; TKV 1039522878"; -   ;34.000.000,00;Operating expense
"THU NO THEO THONG BAO TAC NGHIEP THU NO NGAY 31.10.2025; TKV 1039522878"; -   ;13.600.000.000,00;Loan repayment
TAT TOAN HDTG SO HDTG/RGLH/VCBBD-TT3B-31.07.2025_02 KY NGAY 31.07.2025 THEO CV YEU CAU TAT TOAN HDTG CKH CUA CTY NGAY 31.10.2025;6.500.000.000,00; -   ;Internal transfer in
VCBCSH. C731281025111704.T3B Lot D-Trung Quy-Payment of Water consumption and Wastewater treatment fee Sep 2025-INVOICE 207,208 CT tu 9020128888 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B toi 3886868688 CONG; -   ;86.502.960,00;Operating expense
CA - TARGET;73.726.027,00; -   ;Receipt from tenants
VCBCSH. C768151025104523.T3B-Dang Thi Kim Thu-Payment for Admin expenses for T3B office in Sep25-INVOICE 25471 CT tu 9020128888 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B  toi 19039069076011 DANG THI KIM THU; -   ;1.317.600,00;Operating expense
SHGD:10000728.DD:251029.BO:GOLDEN CHANCE ELECTRONICS CO.,LTD.Remark:DT104453 2530290722200099 Water charges 2025-0920-1020;3.000.544,00; -   ;Receipt from tenants
TAT TOAN HDTG RGLH SO HDTG/RGLH/VCBBD-TT3B THEO CV YEU CAU TAT TOAN HOP DONG TIEN GUI CO KY HAN KY NGAY 29.10.2025;8.000.000.000,00; -   ;Internal transfer in
CA - TARGET;90.739.726,00; -   ;Other receipts
THU NO THEO THONG BAO TAC NGHIEP THU NO NGAY 27102025. TKV 1039522878; -   ;20.000.000.000,00;Loan repayment
THU PHI TNTN; -   ;50.000.000,00;Operating expense
INTEREST PAYMENT;1.418.482,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
THU NO TKV 1039522878THU NO TKV 1039522878; -   ;7.601.925.205,00;Loan repayment
THU NO THEO DE NGHI THU NO TRUOC HAN NGAY 24102025. TKV 1039522878; -   ;2.000.000.000,00;Loan repayment
IBVCB.2410250087174001.CTY JUYI VN thanh toan cho BW theo HD252 ngay 08.10.2025;861.402.648,00; -   ;Receipt from tenants
TAT TOAN HOP DONG TIEN GUI RUT GOC LINH HOAT SO HDTG/RGLH/VCBBD-TT3B-17.04.2025-02, ST 11.000.000.000 VND KY HAN 190 NGAY, CHUYEN VAO TK 9020128888 TAI VCB;274.849.315,00; -   ;Other receipts
TAT TOAN HOP DONG TIEN GUI RUT GOC LINH HOAT SO HDTG/RGLH/VCBBD-TT3B-17.04.2025-02, ST 11.000.000.000 VND KY HAN 190 NGAY, CHUYEN VAO TK 9020128888 TAI VCB;11.000.000.000,00; -   ;Internal transfer in
SHGD:10000106.DD:251022.BO:CONG TY TNHH BAO LONG M VA E VIET NAM.Remark:T3B_Lot D_Security deposit for RBF. D1;2.247.680.687,00; -   ;Receipt from tenants
SHGD:10004947.DD:251021.BO:CONG TY TNHH VAT LIEU DIEN TU QILIDA VIET NAM.Remark:Rent;1.549.076.202,00; -   ;Receipt from tenants
IBVCB.2010250165282004.Cong ty Youngan thanh toan tien thue xuong tu 1/10/2025 den 31/12/2025;1.112.040.402,00; -   ;Receipt from tenants
VCBCSH. C758151025025458.T3B-PVI-1st payment for PAR,B,PLI Insurance Purchasing from 01/10/2025 to 30/09/2026-INVOICE 00000287 CT tu 9020128888 CT TNHH PHAT TRIEN CONG NGHIEP THUAN THANH 3B toi 0071005396210 CO; -   ;166.101.126,00;Operating expense
IBVCB.1810250972826001.YUANFANG TTT THUE XUONG Q3 CHO CTY THUAN THANH 3B;4.791.540.687,00; -   ;Receipt from tenants
CA - TARGET;14.794.521,00; -   ;Other receipts
020097041510161541392025maVU258778.72806.154108.Cty UNI-TREND thanh toan tien phi dich vu va thue xuong thang 10-12.2025;6.941.816.238,00; -   ;Receipt from tenants
020097041510160856542025xzTJ831354.76943.085654.Cty Maxswall VN Thanh toan TIEN Thue Xuong Q4.2025  theo hoa don 00000249;1.230.703.854,00; -   ;Receipt from tenants
CA - TARGET;25.890.411,00; -   ;Other receipts
020097041510281056092025ab18864867.35941.105609.PCC Thanh toan tien thue xuong thang 10-12;17.318.954.220,00; -   ;Receipt from tenants
CA - TARGET;9.081.370,00; -   ;Other receipts
INTEREST PAYMENT;242.122,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
VCBCSH. C797151025032928.BNH-PVI-1st payment for PAR,B,PLI insurance from 01/10/2025 to 30/09/2026 Inv 00000288 CT tu 9020108888 CT TNHH PTCN BW NAM HAI toi 0071005396210 CONG TY BAO HIEM PVI PHIA NAM; -   ;259.435.490,00;Operating expense
"VCBCSH..CONG TY TNHH PHAT TRIEN CONG NGHIEP BW NAM HAI;MS0202120349;TK7111;CQ1054745;QD;Ch555;TM1001;Ky032025;ST655258582;17102025"; -   ;655.258.582,00;Operating expense
INTEREST PAYMENT;10.032,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
INTEREST PAYMENT;173.752,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
VCBCSH. C799151025104715.BW Dong Tien Phong-BTP IZ-Payment of EMF fee in Aug, Sep 2025-INVOICE 820,926 CT tu 7043128888 CONG TY TNHH PHAT TRIEN CONG NGHIEP DONG TIEN  toi 1013836868 CTCP KHU CONG NGHIEP BAC TIE; -   ;597.960.000,00;Operating expense
"VCBCSH..CONG TY TNHH PHAT TRIEN CONG NGHIEP DONG TIEN PHONG;MS5702145414;TK7111;CQ1054619;QD;Ch557;TM1001;Ky032025;ST10000000;17102025"; -   ;10.000.000,00;Operating expense
"DDA Withdrawal by Transfer-TF50_Courier Charge
- VND. STATEMENT &amp; RECEIPTS SEP 2025"; -   ;33.000,00;Operating expense
AM DDA Interest Paid-;37.557,00; -   ;Other receipts
BUT TOAN TRA LA;610; -   ;Other receipts
GHI CO LAI TIEN GUI;5.674,00; -   ;Other receipts
GHI CO LAI TIEN GUI;5.748,00; -   ;Other receipts
GHI CO LAI TIEN GUI;248; -   ;Other receipts
GHI CO LAI TIEN GUI;160; -   ;Other receipts
THANH TOAN HOA DON 8414020006 TU DONG-24310; -   ;59.322.060,00;Operating expense
GHI CO LAI TIEN GUI;59.285,00; -   ;Other receipts
GHI CO LAI TIEN GUI;6.652,00; -   ;Other receipts
GHI CO LAI TIEN GUI;453; -   ;Other receipts
GHI CO LAI TIEN GUI;3.326,00; -   ;Other receipts
GHI CO LAI TIEN GUI;931; -   ;Other receipts
GHI CO LAI TIEN GUI;87; -   ;Other receipts
GHI CO LAI TIEN GUI;473; -   ;Other receipts
GHI CO LAI TIEN GUI;484; -   ;Other receipts
GHI CO LAI TIEN GUI;115; -   ;Other receipts
GHI CO LAI TIEN GUI;180; -   ;Other receipts
GHI CO LAI TIEN GUI;4.040,00; -   ;Other receipts
GHI CO LAI TIEN GUI;258; -   ;Other receipts
GHI CO LAI TIEN GUI;286; -   ;Other receipts
GHI CO LAI TIEN GUI;833; -   ;Other receipts
GHI CO LAI TIEN GUI;126; -   ;Other receipts
GHI CO LAI TIEN GUI;185; -   ;Other receipts
GHI CO LAI TIEN GUI;4.668,00; -   ;Other receipts
GHI CO LAI TIEN GUI;190; -   ;Other receipts
GHI CO LAI TIEN GUI;260; -   ;Other receipts
GHI CO LAI TIEN GUI;291; -   ;Other receipts
GHI CO LAI TIEN GUI;232; -   ;Other receipts
GHI CO LAI TIEN GUI;231; -   ;Other receipts
GHI CO LAI TIEN GUI;272; -   ;Other receipts
GHI CO LAI TIEN GUI;171; -   ;Other receipts
ACCRUED INTEREST;5.437,00; -   ;Other receipts
"Tra lai so du tren tai khoan -
thang 10/2025";116; -   ;Other receipts
"TAT TOAN TIEN GUI SO
14537134677038";50.000.000.000,00; -   ;Internal transfer in
"TAT TOAN TIEN GUI SO
14537134677038";201.712.329,00; -   ;Other receipts
"CONG TY CP SAO HOA TOAN
QUOC GUI TIEN NGAY
27/10/2025"; -   ;50.000.000.000,00;Internal transfer out
"Tra lai so du tren tai khoan -
thang 10/2025";23.688,00; -   ;Other receipts
VAT CHARGES; -   ;50.000,00;Operating expense
BILL NO: 43157177 30/09/2025; -   ;500.000,00;Operating expense
CRIN;1.324,00; -   ;Other receipts
SC60; -   ;50.000,00;Operating expense
VATX; -   ;5.000,00;Operating expense
CRIN;16.357,00; -   ;Other receipts
CRIN;5.869,00; -   ;Other receipts
SC60; -   ;50.000,00;Operating expense
VATX; -   ;5.000,00;Operating expense
FTCR;15.900.000.000,00; -   ;Internal transfer in
CRIN;361.763,00; -   ;Other receipts
CRIN;71.902,00; -   ;Other receipts
CRIN;79.574,00; -   ;Other receipts
MP3_PVI_PAR/BI/PL Master Insurance Policy - Period 2025/2026 - PR.01; -   ;476.844.243,00;Operating expense
HOAN TRA LCT SHGD: 10001084 NGAY: 23 10 2025 NHGUI: 01663001.LY DO:  DO TEN VA TAI KHOAN DVH KHONG KHOP.;476.844.243,00; -   ;Other receipts
MP3_IMPC_Defect rectification from May 2025 to Jul 2025 - INV.00000467 and 00000468; -   ;24.419.945,00;Operating expense
MP3_THAO TA_Claim Notarization fees for Sales Team to 16.10.2025; -   ;5.152.000,00;Operating expense
MP3_BECAMEX_EMF in 10.2025 - INV.12809; -   ;278.784.000,00;Operating expense
MP3_PVI_PAR/BI/PL Master Insurance Policy - Period 2025/2026 - PR.01; -   ;476.844.243,00;Operating expense
MP3_IMPC_FM service fee in Sep 25 - INV.00000466; -   ;238.035.271,00;Operating expense
INTERNAL TRANSFER FROM WOORIBANK RA TO WOORIBANK DSA; -   ;3.631.756.957,00;Internal transfer out
TT PHI THUE XUONG 1.2.3.4 QUY 4.2025 - HD 268.269.270.271 NGAY 07.10.2025;2.954.523.769,00; -   ;Receipt from tenants
MP3_DUNG HUYNH_SERVICE FEE-PRINTPROS; -   ;157.537.101,00;Operating expense
MP3_KZN_STRAY CAT CONTROL SERVICE - INV.137; -   ;12.420.000,00;Operating expense
MP3_KMG_2ND PAYMENT OF ALC PARTITION INSTALLATION B5AB-BWMP3.VD.24011-INV.57; -   ;126.193.302,00;Operating expense
Chi tien dien thang 09 2025 INV 00000292. 15 10 2025;251.677.284,00; -   ;Receipt from tenants
int;467.524,00; -   ;Other receipts
MP3_Internal transfer - Tenant receivable from 01 Sep 2025 to 13 Oct 2025;5.773.999.512,00; -   ;Internal transfer in
CONG TY TNHH CONG NGHE CHINH XAC WONDER TT TIEN THUE XUONG 2;896.112.510,00; -   ;Receipt from tenants
CONG TY TNHH CONG NGHE CHINH XAC WONDERACE (VIET NAM) TT TIEN THUE XUONG 1;501.440.352,00; -   ;Receipt from tenants
MP3_KMG_2nd&3rd  PAYMENT OF WWTP RENOVATION-BWBB1.VD.25016-INV.71; -   ;3.518.681.393,00;Operating expense
INTERNAL TRANSFER FROM WOORIBANK RA TO WOORIBANK DSA; -   ;45.000.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM VTB ACCOUNT TO WOORIBANK RA;10.000.000.000,00; -   ;Internal transfer in
[3155190211] NGAN HANG WOORI VIET NAM HA NOI CTY TNHH ANANDA VIET NAM TT TIEN TH UE XUONG THANG 10.;1.044.972.460,00; -   ;Receipt from tenants
MP3 CHUYEN TIEN THANH TOAN GOC LAI 10/2025 THEO HDTD 08/08/2025; -   ;80.460.619,00;Loan repayment
MP3 CHUYEN TIEN THANH TOAN GOC LAI 10/2025 THEO HDTD 08/08/2025; -   ;636.925.808,00;Loan repayment
MP3 CHUYEN TIEN THANH TOAN GOC LAI 10/2025 THEO HDTD NGAY 08/08/2025; -   ;869.398.502,00;Loan repayment
Loan Repayment; -   ;382.840.063,00;Loan repayment
Loan Repayment; -   ;1.662.131.965,00;Loan repayment
INTERNAL TRANSFER FROM WOORIBANK RA TO WOORIBANK DSA;3.631.756.957,00; -   ;Internal transfer in
int;97.097,00; -   ;Other receipts
INTERNAL TRANSFER FROM WOORIBANK DSA TO WOORIBANK DSRA; -   ;45.000.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM WOORIBANK RA TO WOORIBANK DSA;45.000.000.000,00; -   ;Internal transfer in
INTERNAL TRANSFER FROM WOORIBANK DSRA TO WOORIBANK CA; -   ;45.000.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM WOORIBANK DSA TO WOORIBANK DSRA;45.000.000.000,00; -   ;Internal transfer in
Int Pay;6; -   ;Other receipts
Int Pay;6.508,00; -   ;Other receipts
Withdrawal; -   ;45.000.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM WOORIBANK DSRA TO WOORIBANK CA;45.000.000.000,00; -   ;Internal transfer in
Tra goc TK tien gui 215000474760; -   ;3.000.000.000,00;Internal transfer out
Tra goc TK tien gui 214000457628; -   ;9.000.000.000,00;Internal transfer out
Tra goc TK tien gui 212000477049; -   ;5.000.000.000,00;Internal transfer out
Tra goc TK tien gui 216000479740; -   ;5.000.000.000,00;Internal transfer out
Tra goc TK tien gui 214000474710; -   ;5.000.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 815012941675 dao han ngay 26/10/2025, tien goc 50000000000 (VND); -   ;50.000.000.000,00;Internal transfer out
TAT TOAN HDTG SO HDTG/RGLH/VCBBD-TT3B-31.07.2025_02 KY NGAY 31.07.2025 THEO CV YEU CAU TAT TOAN HDTG CKH CUA CTY NGAY 31.10.2025; -   ;6.500.000.000,00;Internal transfer out
TAT TOAN HDTG RGLH SO HDTG/RGLH/VCBBD-TT3B THEO CV YEU CAU TAT TOAN HOP DONG TIEN GUI CO KY HAN KY NGAY 29.10.2025; -   ;8.000.000.000,00;Internal transfer out
TAT TOAN HOP DONG TIEN GUI RUT GOC LINH HOAT SO HDTG/RGLH/VCBBD-TT3B-17.04.2025-02, ST 11.000.000.000 VND KY HAN 190 NGAY, CHUYEN VAO TK 9020128888 TAI VCB; -   ;11.000.000.000,00;Internal transfer out
"TAT TOAN TIEN GUI SO
14537134677038"; -   ;50.000.000.000,00;Internal transfer out
Adjustment;3.146.000,00; -   ;Other receipts
HDTG 900/2025/35595;5.000.000.000,00; -   ;Internal transfer in
HDTG 900/2025/35573;5.000.000.000,00; -   ;Internal transfer in
GUI HDTG 285 2025 32450;4.744.038.499,00; -   ;Internal transfer in
gui hdtg 285 2025 32451;5.097.490.445,00; -   ;Internal transfer in
HDTG SO 610.2025.HDTG.TX_CK:(100,000,000,000.00);100.000.000.000,00; -   ;Internal transfer in
HDTG SO 620/2025/HDTG.TX_CK:(50,000,000,000.00);50.000.000.000,00; -   ;Internal transfer in
